,gender,response,treatment
0,MALE,0,0
1,FEMALE,0,1
2,MALE,0,0
3,MALE,0,1
4,FEMALE,0,1
5,FEMALE,0,1
6,MALE,0,1
7,FEMALE,0,1
8,MALE,0,1
9,MALE,0,1
10,FEMALE,0,0
11,MALE,0,0
12,FEMALE,0,1
13,FEMALE,0,0
14,FEMALE,0,1
15,MALE,0,0
16,FEMALE,0,1
17,MALE,0,0
18,MALE,0,1
19,FEMALE,0,0
20,MALE,0,1
21,MALE,0,0
22,MALE,0,1
23,MALE,0,1
24,MALE,0,0
25,FEMALE,0,0
26,MALE,0,0
27,MALE,1,0
28,FEMALE,0,1
29,FEMALE,0,0
30,MALE,0,1
31,MALE,0,0
32,FEMALE,1,1
33,FEMALE,1,0
34,MALE,0,0
35,MALE,0,0
36,MALE,1,0
37,FEMALE,1,0
38,FEMALE,0,1
39,FEMALE,0,1
40,MALE,0,0
41,FEMALE,0,1
42,MALE,0,0
43,FEMALE,0,1
44,FEMALE,0,0
45,FEMALE,0,0
46,MALE,0,1
47,FEMALE,1,1
48,MALE,0,0
49,FEMALE,0,1
50,MALE,0,0
51,FEMALE,1,0
52,MALE,0,1
53,FEMALE,0,1
54,FEMALE,0,1
55,FEMALE,0,0
56,MALE,1,0
57,FEMALE,1,1
58,FEMALE,0,0
59,MALE,1,1
60,MALE,0,0
61,FEMALE,0,1
62,MALE,0,1
63,MALE,0,1
64,MALE,0,1
65,MALE,0,1
66,MALE,0,0
67,MALE,1,1
68,FEMALE,0,1
69,MALE,0,0
70,MALE,0,0
71,MALE,0,0
72,MALE,0,1
73,MALE,0,1
74,FEMALE,0,1
75,MALE,0,1
76,MALE,0,1
77,MALE,0,1
78,MALE,0,1
79,MALE,0,0
80,MALE,0,0
81,FEMALE,0,1
82,MALE,0,1
83,FEMALE,0,0
84,FEMALE,0,0
85,FEMALE,0,1
86,MALE,0,0
87,FEMALE,0,0
88,FEMALE,0,0
89,MALE,0,1
90,MALE,0,0
91,MALE,0,0
92,MALE,0,0
93,MALE,0,1
94,MALE,0,0
95,MALE,0,0
96,MALE,0,0
97,MALE,0,0
98,FEMALE,1,1
99,MALE,0,0
100,MALE,0,0
101,FEMALE,0,0
102,MALE,0,0
103,MALE,1,1
104,MALE,0,1
105,MALE,0,1
106,MALE,0,0
107,MALE,0,0
108,FEMALE,0,1
109,FEMALE,0,1
110,MALE,0,0
